name,continent,Population,popMM,deaths,code,logdeaths,logpopulation
Kuwait,Asia,"4,270,571",4.270571,296,KWT,5.690359454324059,15.267258099917992
Kyrgyzstan,Asia,"6,524,195",6.524195,27,KGZ,3.2958368660043287,15.691028131914614
Latvia,Europe,"1,886,198",1.886198,28,LVA,3.332204510175204,14.450073720758414
Lebanon,Asia,"6,825,445",6.8254449999999975,32,LBN,3.4657359027997265,15.736168098374975
Lesotho,Africa,"2,142,249",2.142249,0,LSO,-inf,14.57736676973233
Liberia,Africa,"5,057,681",5.057681,32,LBR,3.4657359027997265,15.436418635816667
Libya,Africa,"6,871,292",6.8712919999999995,10,LBY,2.302585092994046,15.742862710563285
Liechtenstein,Europe,"38,128",0.038127999999999995,1,LIE,0.0,10.548704199338523
Lithuania,Europe,"2,722,289",2.722289,75,LTU,4.31748811353631,14.81698362849011
Luxembourg,Europe,"625,978",0.6259779999999999,110,LUX,4.700480365792417,13.347070505694711
Madagascar,Africa,"27,691,018",27.691018,10,MDG,2.302585092994046,17.13661865864615
Malawi,Africa,"19,129,952",19.129952,6,MWI,1.791759469228055,16.766765832265353
Malaysia,Asia,"32,365,999",32.365999,121,MYS,4.795790545596741,17.292619016162348
Maldives,Asia,"540,544",0.5405439999999999,8,MDV,2.079441541679836,13.20033131885356
Mali,Africa,"20,250,833",20.250833,104,MLI,4.6443908991413725,16.823706486473238
Malta,Europe,"441,543",0.441543,9,MLT,2.19722457733622,12.998030689527031
Mauritania,Africa,"4,649,658",4.6496580000000005,87,MRT,4.465908118654584,15.352304226471627
Mauritius,Africa,"1,271,768",1.271768,10,MUS,2.302585092994046,14.05591861631003
Mexico,North America,"128,932,753",128.932753,17141,MEX,9.749228533507056,18.674801531831047
Monaco,Europe,"39,242",0.039242,4,MCO,1.3862943611198906,10.577502880780047
Mongolia,Asia,"3,278,290",3.27829,0,MNG,-inf,15.0028325029512
Montenegro,Europe,"628,066",0.628066,9,MNE,2.19722457733622,13.350400535469587
Morocco,Africa,"36,910,560",36.91056,212,MAR,5.356586274672011,17.424008246931184
Mozambique,Africa,"31,255,435",31.255435,3,MOZ,1.0986122886681098,17.257703839024355
Namibia,Africa,"2,540,905",2.540905,0,NAM,-inf,14.748030874747826
Nepal,Asia,"29,136,808",29.136808000000002,19,NPL,2.9444389791664403,17.187512812580376
Netherlands,Europe,"17,134,872",17.134872,6078,NLD,8.712430973476737,16.656626243172486
New Zealand,Oceania,"4,822,233",4.822233,22,NZL,3.0910424533583165,15.388747656754958
Nicaragua,North America,"6,624,554",6.624553999999999,55,NIC,4.007333185232471,15.706293606815699
Niger,Africa,"24,206,644",24.206644,66,NER,4.189654742026425,17.002137698900754
Nigeria,Africa,"206,139,589",206.139589,420,NGA,6.040254711277415,19.144064113780306
Norway,Europe,"5,421,241",5.421241,242,NOR,5.488937726156687,15.505835313996602
Oman,Asia,"5,106,626",5.106626,104,OMN,4.6443908991413725,15.446049470130426
Pakistan,Asia,"220,892,340",220.89234,2729,PAK,7.911690520708339,19.21318599146498
Panama,North America,"4,314,767",4.314767,437,PAN,6.07993319509559,15.277553883359236
Papua New Guinea,Oceania,"8,947,024",8.947024,0,PNG,-inf,16.006831520989532
Paraguay,South America,"7,132,538",7.132538,11,PRY,2.3978952727983707,15.780177689780801
Peru,South America,"32,971,854",32.971854,6688,PER,8.808070154764536,17.311164846405937
Philippines,Asia,"109,581,078",109.581078,1088,PHL,6.992096427415887,18.512175271587754
Poland,Europe,"37,846,611",37.846610999999996,1247,POL,7.1284959456800365,17.449051996190384
Portugal,Europe,"10,196,709",10.196709,1517,PRT,7.324489979348532,16.137575579133916
Qatar,Asia,"2,881,053",2.881053,73,QAT,4.290459441148391,14.873666410287596
Romania,Europe,"19,237,691",19.237691,1410,ROU,7.2513449833722134,16.772381985605
Rwanda,Africa,"12,952,218",12.952217999999998,2,RWA,0.6931471805599453,16.376777605575356
Saint Lucia,North America,"183,627",0.18362699999999998,0,LCA,-inf,12.120661805179967
San Marino,Europe,"33,931",0.033931,42,SMR,3.737669618283368,10.432084329787237
Saudi Arabia,Asia,"34,813,871",34.813871,972,SAU,6.879355804460438,17.365526457282055
Senegal,Africa,"16,743,927",16.743927,60,SEN,4.0943445622220995,16.633546183327805
Serbia,Europe,"8,737,371",8.737371000000001,254,SRB,5.5373342670185375,15.983119901466717
Seychelles,Africa,"98,347",0.098347,0,SYC,-inf,11.496257320047444
Sierra Leone,Africa,"7,976,983",7.9769830000000015,51,SLE,3.9318256327243257,15.892070827764005
Singapore,Asia,"5,850,342",5.8503419999999995,26,SGP,3.258096538021482,15.582010679037692
Slovakia,Europe,"5,459,642",5.459642,28,SVK,3.332204510175204,15.51289377780586
Slovenia,Europe,"2,078,938",2.078938,109,SVN,4.691347882229144,14.547367744365642
Somalia,Africa,"15,893,222",15.893222,88,SOM,4.477336814478207,16.581403286995165
South Africa,Africa,"59,308,690",59.30869000000001,1480,ZAF,7.299797366758161,17.898266396233264
South Sudan,Africa,"11,193,725",11.193725,27,SSD,3.2958368660043287,16.230863911399496
Spain,Europe,"46,754,778",46.754778,27136,ESP,10.208616538591631,17.660427011685133
Sri Lanka,Asia,"21,413,249",21.413249,11,LKA,2.3978952727983707,16.87952040057075
Sudan,Africa,"43,849,260",43.84926,459,SDN,6.129050210060545,17.596268400927414
Suriname,South America,"586,632",0.5866319999999999,3,SUR,1.0986122886681098,13.282152985691198
Sweden,Europe,"10,099,265",10.099264999999999,4874,SWE,8.491670234185152,16.127973206886228
Switzerland,Europe,"8,654,622",8.654622,1938,CHE,7.569411792450713,15.973604071461926
Tajikistan,Asia,"9,537,645",9.537645,50,TJK,3.912023005428147,16.07075715760476
Thailand,Asia,"69,799,978",69.799978,58,THA,4.060443010546419,18.061144252546306
Timor-Leste,Asia,"1,318,445",1.318445,0,TLS,-inf,14.091963569836405
Togo,Africa,"8,278,724",8.278724,13,TGO,2.5649493574615367,15.929199408205656
Trinidad and Tobago,North America,"1,399,488",1.3994879999999998,8,TTO,2.079441541679836,14.151617013409995
Tunisia,Africa,"11,818,619",11.818619,49,TUN,3.8918202981106265,16.28518672724498
Turkey,Asia,"84,339,067",84.339067,4807,TUR,8.47782846789396,18.25035574385489
Uganda,Africa,"45,741,007",45.741007,0,UGA,-inf,17.63850576205771
Ukraine,Europe,"43,733,762",43.733762,899,UKR,6.80128303447162,17.593630947587382
United Arab Emirates,Asia,"9,890,402",9.890402,289,ARE,5.666426688112433,16.107075349891126
United Kingdom,Europe,"67,886,011",67.886011,41783,GBR,10.640244837223962,18.03334054773909
Uruguay,South America,"3,473,730",3.47373,23,URY,3.1354942159291497,15.060739502555561
Uzbekistan,Asia,"33,469,203",33.469203,19,UZB,2.9444389791664403,17.326136260534703
Western Sahara,Africa,"597,339",0.5973390000000001,1,ESH,0.0,13.300240070411048
Yemen,Asia,"29,825,964",29.82596400000001,164,YEM,5.0998664278242,17.210889847303534
Zambia,Africa,"18,383,955",18.383955,11,ZMB,2.3978952727983707,16.726988831287
Zimbabwe,Africa,"14,862,924",14.862924,4,ZWE,1.3862943611198906,16.514380347749192
